Product Name,Order Count
eva water,890
bbq chicken,419
peppered chicken,411
turkey,393
jollof rice,359
meat cravers pizza (medium),317
coca cola pet,287
pack,284
5 alive pulpy,273
coleslaw salad,271
genesis supreme pizza (large),270
genesis supreme pizza (medium),246
meat cravers pizza (large),238
half litre ice cream,237
meat pie,235
plastic pack,233
shawarma,232
meat cravers pizza (odogwu),215
puff puff,215
beef,206
can coke,196
sweet,192
snail,190
chi exotic can,190
chicken pizza (large),186
plastic plate,169
jam doughnut,165
fried plantain,158
chicken pie,157
semovita,156
stir fried spaghetti,152
lucozade boost 450 ml,149
tilapia fish,143
tiger nut,140
boiled egg,140
amstel pet,132
chicken pizza (medium),127
can maltina,124
goat meat,116
hollandia yoghurt,116
genesis double deluxe pizza,112
sausage roll,107
afang soup,105
genesis supreme pizza (odogwu),104
chi exotic,103
asun rice,103
chicken bandello,102
fiesta fried rice,102
spaghetti surprise,101
malta guiness,100
eba,99
native jollof rice,97
cow leg,96
egusi soup,96
genesis supreme pizza medium,93
chi exotic pack,92
royal pizza (medium),91
seafood fried rice,88
beef burger,87
extra cheese,84
chicken fried rice,83
scotch egg,82
poundo yam,82
white rice,82
boiled potatoes,81
chicken fantasy,78
take away pack,74
1/8 chicken,73
fanta pet,71
pepperoni pizza (medium),70
moi moi,67
fried rice,67
beef pizza,67
chips,64
pepperoni pizza (large),64
small chops,63
combo rice,63
side vegetable,63
beef pizza (medium),61
whole fish big,60
chicken pizza medium,60
bbq fish,58
chicken salad,58
freshyo yoghurt,58
freshyo youghurt,56
fresh juice,56
turkey rice,56
big snail,55
chinese rice,55
ribena,55
wild rice,54
egg sauce,54
fresh bake,53
dried catfish,51
chicken pizza .large,51
vegetable salad,50
chicken pizza (odogwu),50
aquadana,50
cow tail,49
fish in stew,48
water,47
corn beef moi moi,47
meat cravers pizza,46
pottage plantain,46
whole fish with plantain,46
gizzard kebab,45
coconut rice,45
toast bread,45
beef pizza (large),44
royal pizza (odogwu),44
chicken burger,43
yam pottage,43
turkey fried rice,42
liver,42
sausage pizza (large),41
1 litre ice cream,41
cow head,40
white beans,39
amstel can,37
rice and beans,37
boiled yam,37
chocolate muffin,37
coconut bread,37
ice cream,37
meat cravers odogwu,36
royal pizza large,36
seafood okro,35
beef meat,35
farm house,34
boiled plantain,34
chicken pepper soup,34
chicken mayonaise,32
sausage,32
red velvet muffin,31
fresh pulp,31
yamarita,30
fisherman,30
skumbia fish,29
ice cream scoop (1 scoop),29
mini turkey,29
pepperoni pizza (odogwu),29
pancakes,29
ring doughnut,29
ofada rice,28
spaghetti,28
beef dumpling,28
ham & egg,27
6 inches cake,27
chicken pizza (mini),27
buttered bread,27
tilapia fish pepper soup,27
meat bread,27
veg special,27
chicken in stew,26
asaro,26
red velvet sliced cake,26
ram biryani,26
coffee / tea,25
hollandia youghurt,25
predator,25
fish sauce,25
promo chicken,25
chivita,25
pancake,25
poached egg,25
chicken pizza small,24
okro soup,24
sausage pizza large,24
chicken potato,24
native soup,24
sabalo fish,23
chicken pizza extra large,23
parfait,23
cantonns rice,23
oriental rice,23
cantonnis rice,23
chicken bar,23
peppered catfish,22
ram fried rice,22
coconut fried rice,21
spicy seafood rice,21
test item,21
ice cream scoop (2 scoops),20
meat ball sauce,20
double deluxe layer,20
vegetable rice,20
special rice (4spoons),20
asun,20
genesis special  rice,20
10 inches  fondant cake,20
fruit salad,20
genesis supreme large,20
macaroni,19
shreded beef,19
beef pizza medium,19
mullet fish,19
asun fried rice,19
beef pizza large,18
fresh wheat bread,18
meat cravers pizza ( large),18
oha soup,18
fruit bread,18
just fresh,17
delivery,17
meat cravers large,17
spanish omelette,17
moi moi wrapped,17
wheat bread,17
mixed salad,16
full english breakfast with pack,16
ofada sauce,16
turkey pizza (large),16
mackerel fish,16
pumpkin island fried rice,16
pepperoni pizza extra large (odogwu pack),16
beef pizza odogwu,16
ice cream toppings,16
black forest cake,16
ice cream scoop (3 scoops),15
plantain,15
"whole chicken (available on order, 3 hours)",15
titus fish,15
prawn breeze rice,15
8inches cake butter icing,15
spicy rice,15
ima savory,15
oiless okro,14
akara,14
whole chicken,14
stir fried turkey,14
white forest cake,14
tilapia grilled,14
hollandia yoghurt big,13
special fried rice,13
egg omelette,13
half  chicken odogwu and half beef odogwu,13
vanilla loaf cake,13
panla fish,13
